"","model","formula","lam(dis.v.s)","SElam(dis.v.s)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PASLvshilin)","SElam(PASLvshilin)","lam(PASMangao)","SElam(PASMangao)","lam(PASMengla)","SElam(PASMengla)","lam(PASMengsong)","SElam(PASMengsong)","lam(PASNabanhe)","SElam(PASNabanhe)","lam(pop.s)","SElam(pop.s)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"12","m013","~camhours + cam_angle ~ PAS",NA,NA,NA,NA,0.152612092640596,0.242257352853213,-10.8329625350411,97.3318673973852,-9.60250270165393,42.686396574504,1.11620061384836,0.252410755306411,-0.717485005782142,0.54652500569223,1.14886700046317,0.275613947594094,NA,NA,0.422174118525392,0.252847770559434,0.0658221583372725,0.0786074460624042,-4.71989292235506,0.286471475214112,0,3808929.37234759,1239.76155308532,9,115,2497.52310617064,0,0.242112767283911,NA,0.242112767283911
"6","m007","~camhours ~ ele.s + PAS",NA,NA,0.186372797435469,0.115717293544607,0.052592366510732,0.246690347998554,-10.3213500750546,94.7161189378219,-26.3847867036262,4194.30405969461,1.11473210779212,0.254309902781471,-0.692479008771702,0.545492116298183,1.24130109904454,0.294972614768874,NA,NA,NA,NA,0.0651336493418074,0.078819035211525,-4.32576476385919,0.153057234008556,0,5448816320.02681,1239.79934708769,9,115,2497.59869417539,0.0755880047531718,0.233133114140488,NA,0.4752458814244
"4","m005","~camhours ~ PAS",NA,NA,NA,NA,0.107360191635225,0.242354998759106,-10.9436286231404,105.552805305446,-13.7798435454318,353.224184577053,1.13506008202112,0.254326631961409,-0.667460960025242,0.546499876266785,1.07373798367264,0.27655272493424,NA,NA,NA,NA,0.0656316849542075,0.0787005352292966,-4.3085179030056,0.151654563368982,0,36649482.1401193,1241.09851605493,8,115,2498.19703210985,0.673925939215223,0.172852845507478,NA,0.648098726931878
"13","m014","~camhours + cam_angle ~ pop.s + PAS",NA,NA,NA,NA,0.19879845378408,0.313757427603778,-12.1749001985609,171.377151092694,-15.608580079693,822.570738691284,1.1375874480788,0.268563426371323,-0.742978162152379,0.558169938003585,1.00191591908081,0.695945963175258,0.0810552460693012,0.349994789009423,0.417975610418304,0.253529418576834,0.0658663499915895,0.0786385439037907,-4.71598001977855,0.286853786218879,0,276494076.656421,1239.73391150708,10,115,2499.46782301417,1.94471684353312,0.0915646404958261,NA,0.739663367427704
"16","m018","~camhours ~ ele.s + pop.s + PAS + dis.v.s",-0.0111885358034445,0.0932560781133796,0.281128377757817,0.139065846120309,0.336553618885032,0.318898997202967,-10.5458306217533,56.7194379273062,-16.3739687115951,1120.97495958893,1.27646828101926,0.284343242762497,-0.89950591049538,0.574628139598654,0.3362643017822,0.744132198929101,0.565862894808586,0.418905760701816,NA,NA,0.0642532877597616,0.078819275524843,-4.34101957155087,0.154237264224616,0,447706849.683711,1238.84751998175,11,115,2499.69503996351,2.17193379287301,0.0817312725598171,NA,0.821394639987521
"17","m020","~camhours + cam_angle ~ ele.s + pop.s + PAS + dis.v.s",-0.00792636517309522,0.0925633700165967,0.255767349502021,0.139123908854356,0.342483674986045,0.31627367110039,-16.1144257654078,988.607478572029,-13.631780090917,280.871558293527,1.24477910555756,0.283056293528263,-0.907972394837374,0.573747110770415,0.512313299174882,0.740002553462509,0.492180513613403,0.414989809195452,0.356325109881861,0.258937084741988,0.0646228732416615,0.0787738869474801,-4.68973074498361,0.294496717953468,0,437940282.866115,1237.93855680303,12,115,2499.87711360606,2.35400743542459,0.0746193517511326,NA,0.896013991738654
"5","m006","~camhours ~ pop.s + PAS",NA,NA,NA,NA,0.178647670018233,0.318568970434069,-8.32093742536704,24.2763738389773,-25.2590220871995,NA,1.16682014870319,0.270765646968724,-0.708644172001082,0.559438708134116,0.852247814622362,0.70811285846983,0.122667772648863,0.358296381981828,NA,NA,0.0654985446464782,0.0786879150479903,-4.30916649686747,0.151626284950892,0,-5314884610.89762,1241.04037741564,9,115,2500.08075483129,2.55764866064919,0.0673955685883147,NA,0.963409560326969
"11","m012","~camhours + cam_angle ~ pop.s + dis.v.s + PAS",-0.0368384170430965,0.0910404902436647,NA,NA,0.209487819040557,0.314685940513225,-13.1693131046575,275.966540179197,-14.3098422927928,434.929178406584,1.16706509258119,0.278389694791736,-0.791842176460072,0.570257943356302,0.962431468774025,0.702313176265934,0.0944953640921891,0.351314695699174,0.413542459084467,0.254423907137508,0.0658717698287303,0.0786381328601797,-4.71611272032499,0.288395833406967,0,79850466.782071,1239.65116968829,11,115,2501.30233937657,3.77923320593436,0.0365904396730292,NA,0.999999999999998
"2","m002","~camhours ~ ele.s",NA,NA,0.230965836862819,0.111169505030929,0.292969893385345,0.133130636954075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068446443865416,0.0780507038550151,-3.9554736434196,0.110833154032186,0,5.41774948575908,1278.34813817575,4,115,2564.6962763515,67.1731701808635,6.27406654776664e-16,NA,0.999999999999999
"1","m001","~1 ~ 1",NA,NA,NA,NA,0.319529038693277,0.131187111781608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.95492956931702,0.111382206035623,0,5.0600357762754,1281.05976296713,2,115,2566.11952593425,68.5964197636163,3.07960063694208e-16,NA,0.999999999999999
"3","m003","~camhours ~ ele.s + pop.s",NA,NA,0.217180434111881,0.13838766491062,0.289972632213389,0.134489464774613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0251776089354632,0.151101914168369,NA,NA,0.0684961131768117,0.0780708389965709,-3.95425064757999,0.111105841120834,0,7.50013863445032,1278.33421746619,5,115,2566.66843493239,69.1453287617519,2.34045516679949e-16,NA,0.999999999999999
"8","m009","~camhours ~ pop.s + dis.v.s",0.128618675812602,0.0850445798279267,NA,NA,0.298986024166764,0.134492572876723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11278242173176,0.121405276786623,NA,NA,0.068314222760852,0.0778901523463797,-3.95553172262571,0.112187441055183,0,5.94847675389138,1278.48021581656,5,115,2566.96043163312,69.4373254624834,2.022525697773e-16,NA,0.999999999999999
"7","m008","~camhours ~ pop.s",NA,NA,NA,NA,0.290997069859609,0.133983788080929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.162218999489005,0.118990435374331,NA,NA,0.0688728701441547,0.0779787085807951,-3.9421534422745,0.111046828327162,0,5.45720693365982,1279.57623237471,4,115,2567.15246474943,69.6293585787894,1.83736139443807e-16,NA,1
"9","m010","~camhours + cam_angle ~ ele.s + pop.s + dis.v.s",0.148519240754571,0.0854642339153421,0.238019550461688,0.138132385807852,0.301372468342263,0.135150114982382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0523209255365983,0.156402667213187,0.0684272206336838,0.258670994711529,0.0679553681850946,0.0779862784822883,-4.03036095870729,0.255098876343644,0,41.918986189643,1276.87922433221,7,115,2567.75844866442,70.2353424937805,1.3570843799512e-16,NA,1
