"","model","formula","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(pop)","SElam(pop)","lam(popP)","SElam(popP)","lam(popSH)","SElam(popSH)","lam(size)","SElam(size)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"4","m004","~camhours + cam_angle ~ ele.s + popP",0.199310409964626,0.230822632652357,-1.25678559727123,0.527317320835682,NA,NA,0.125184334348822,0.0373439851780459,NA,NA,NA,NA,13.2071150222033,254.43409256581,4.67340216441674,45.421371996108,-18.7423021831796,254.442282735687,0,502330695.396559,247.035768139808,6,115,506.071536279616,0,0.554456862199645,NA,0.554456862199645
"8","m008","~camhours + cam_angle ~ ele.s + size + popP",0.208907655760232,0.236327664928405,-1.39815083384307,0.699946843660526,NA,NA,0.131636399495181,0.0429507729193209,NA,NA,0.0256826612895784,0.0799508172961783,7.43976313537255,14.101839009859,2.88970145733463,24.1398698560658,-12.9047279175927,14.1463430129136,0,2370760.81361023,246.9922948167,7,115,507.984589633399,1.91305335378303,0.213036248295144,NA,0.767493110494789
"3","m003","~camhours + cam_angle ~ ele.s + pop",0.567542815155125,0.303925465014268,-1.70287776464994,0.639496655432929,0.034086390825832,0.01192461885411,NA,NA,NA,NA,NA,NA,6.25116685025037,8.48979262444433,8.74663164127147,103.376276141634,-11.9113879429492,9.58859325673325,0,866086120.561296,248.325745467263,6,115,508.651490934526,2.57995465490956,0.152629235101189,NA,0.920122345595978
"7","m007","~camhours + cam_angle ~ ele.s + size + pop",0.581776647824571,0.308271452404147,-1.8035538868356,0.825165906512523,0.0353966519219527,0.0133672747590651,NA,NA,NA,NA,0.0129484081722606,0.0754572024976957,8.14011752648855,21.6610962927825,6.27005841753139,62.54610602535,-13.6981879611612,21.8307141104985,0,319395521.408296,248.298867446752,7,115,510.597734893505,4.5261986138886,0.0576788007293549,NA,0.977801146325333
"5","m005","~camhours + cam_angle ~ ele.s + popSH",0.257946307739865,0.287571665156256,-1.15710702597334,0.540920972400971,NA,NA,NA,NA,0.0735701938986104,0.0415596617760594,NA,NA,11.3675662090222,123.010104873074,6.08598998254959,64.2506917308899,-16.7431567244385,123.041506846514,0,131178391.067131,251.157867385328,6,115,514.315734770656,8.2441984910397,0.00898799467972105,NA,0.986789141005054
"2","m002","~camhours + cam_angle ~ ele.s",-0.093723425084576,0.20556123038951,-0.512741551284015,0.326526484512839,NA,NA,NA,NA,NA,NA,NA,NA,10.2235582415132,65.3491625109233,5.23733596968649,59.7999734950776,-15.4618660289083,65.4000771685868,0,575290.874179676,252.730316499383,5,115,515.460632998765,9.38909671914928,0.00507050616708484,NA,0.991859647172139
"6","m006","~camhours + cam_angle ~ ele.s + size",-0.0134653775710158,0.212466160867667,-0.21508541774077,0.403195121766705,NA,NA,NA,NA,NA,NA,-0.0768483163718256,0.0660916839504865,9.37443215395562,43.7479314049413,6.06251137691888,72.624412194075,-14.6661304888412,43.859730904108,0,2983539.50981926,252.001707500951,6,115,516.003415001902,9.93187872228611,0.00386533999863118,NA,0.995724987170771
"9","m009","~camhours + cam_angle ~ ele.s + size + popSH",0.244579603413526,0.286338502671787,-0.935107836381068,0.705545794482479,NA,NA,NA,NA,0.0634099009390403,0.0464282054137368,-0.0335918322624229,0.0722287952083096,8.46901569523771,29.01869301439,4.93293020685019,47.6944767164828,-13.7930870058429,29.0923398828593,0,9987678.96168445,251.049796057421,7,115,516.099592114841,10.0280558352252,0.00368385990716444,NA,0.999408847077935
"1","m001","~1 ~ 1",NA,NA,-0.716453148999448,0.312764756924695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.9950376548842,0.311700573067429,0,7.48742455993032,257.879437691387,2,115,519.758875382773,13.6873391031572,0.000591152922065106,NA,1
