,model,formula,lam(distP.v),SElam(distP.v),lam(distSH.v),SElam(distSH.v),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt,,lam(distP.v),SElam(distP.v),lam(distSH.v),SElam(distSH.v),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int)
5,m005,~camhours ~ ele.s + distP.v + distSH.v,-0.22036046,0.357448877,-0.366341449,0.297349397,0.098974388,0.264999812,-0.605607295,0.322002338,,,2.823935643,23.31512612,-5.11764063,1.050885167,0,24154.019,255.6714905,6,115,523.342981,10.61081157,0.001454669,NA,1,,-0.000320552,0.00051997,-0.000532906,0.000432545,0.000143975,0.000385487,-0.000880958,0.000468407,0,0,0.004107892,0.03391579,-0.007444473,0.00152869
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,~camhours + cam_angle ~ ele.s,,,,,,,,,,,,,,,,,,,,515.460633,,,,,summarize ,-0.014187365,0.012715401,-0.021433047,0.012450086,-0.000213698,0.005479899,-0.027227867,0.022241408,0.637608045,3.576924899,0.350430259,4.928875448,-0.988786238,3.587709758
,,~camhours + cam_angle ~ disturbance.v,,,,,,,,,,,,,,,,,,,,515.5365169,,,,,,,,,,,,,,,,,,,
,,~camhours + cam_angle ~ disturbance,,,,,,,,,,,,,,,,,,,,515.5845246,,,,,,Mean,SE,95%CI,low CI,hi CI,significant,99%CI,low CI,hi CI,significant,trend,,,
,,~camhours + cam_angle ~ ele.s + disturbance.v,,,,,,,,,,,,,,,,,,,,517.3842051,,,,,distP.v,-0.014187365,0.012715401,0.024795033,-0.038982398,0.010607668,,0.025303649,-0.039491014,-0.039491014,,,,,
,,~camhours + cam_angle ~ ele.s + disturbance,,,,,,,,,,,,,,,,,,,,517.4104778,,,,,distSH.v,-0.021433047,0.012450086,0.024277668,-0.045710715,0.002844621,,0.024775672,-0.046208719,0.003342625,,,,,
,,~camhours + cam_angle ~ disturbance + disturbance.v,,,,,,,,,,,,,,,,,,,,517.4379893,,,,,ele,-0.000213698,0.005479899,0.010685803,-0.010899501,0.010472105,,0.010904999,-0.011118697,0.010691301,,,,,
,,~camhours + cam_angle ~ ele.s + disturbance + disturbance.v,,,,,,,,,,,,,,,,,,,,519.2482442,,,,,,,,,,,,,,,,,,,
,,~1 ~ 1,,,,,,,,,,,,,,,,,,,,519.7588754,,,,,cam_angle,0.637608045,3.576924899,6.975003553,-6.337395508,7.612611598,,7.118080549,-6.480472504,7.755688594,,,,,
,,~camhours ~ disturbance,,,,,,,,,,,,,,,,,,,,521.6138136,,,,,camhours,0.350430259,4.928875448,9.611307123,-9.260876863,9.961737382,,9.808462141,-9.458031881,10.1588924,,,,,
,,~camhours ~ disturbance.v,,,,,,,,,,,,,,,,,,,,521.6402139,,,,,,,,,,,,,,,,,,,
,,~camhours ~ ele.s,,,,,,,,,,,,,,,,,,,,521.6436901,,,,,,,,,,,,,,,,,,,
,,~camhours ~ disturbance + disturbance.v,,,,,,,,,,,,,,,,,,,,523.5441146,,,,,,,,,,,,,,,,,,,
,,~camhours ~ ele.s + disturbance,,,,,,,,,,,,,,,,,,,,523.5580706,,,,,,,,,,,,,,,,,,,
,,~camhours ~ ele.s + disturbance.v,,,,,,,,,,,,,,,,,,,,523.5869764,,,,,,,,,,,,,,,,,,,
,,~camhours ~ ele.s + disturbance + disturbance.v,,,,,,,,,,,,,,,,,,,,525.4950752,,,,,,,,,,,,,,,,,,,
