"","model","formula","lam(dis)","SElam(dis)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PAsize)","SElam(PAsize)","lam(pop3000.s)","SElam(pop3000.s)","lam(popEDU)","SElam(popEDU)","lam(popIN)","SElam(popIN)","lam(popPUN)","SElam(popPUN)","lam(popREACH)","SElam(popREACH)","lam(popSH)","SElam(popSH)","lam(popSP)","SElam(popSP)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"11","m011","~camhours + cam_angle ~ ele.s + dis + PAsize + popPUN",0.330918765803963,0.129566102501607,0.117104037262043,0.141996003034647,-0.411899652942901,0.295445863635293,0.203827489144547,0.0477206521314823,NA,NA,NA,NA,NA,NA,0.693962873297027,0.13795922011101,NA,NA,NA,NA,NA,NA,0.233121845392626,0.261397196863878,0.0667973462935212,0.0791848257933287,-4.59324262033747,0.300286858347346,0,1093.68149606915,1243.39072550788,8,115,2502.78145101576,0,0.708276919367378,NA,0.708276919367378
"10","m010","~camhours + cam_angle ~ ele.s + dis + PAsize + popREACH",0.303347864461575,0.13091319587069,0.121261852556517,0.143318818343102,-0.319723162550761,0.283480137889297,0.189814627705554,0.0452502075129728,NA,NA,NA,NA,NA,NA,NA,NA,0.643406936826916,0.130318608448666,NA,NA,NA,NA,0.236350629694702,0.261142813969478,0.0672839765462846,0.0792110407122571,-4.60661888256557,0.30210228495077,0,1103.49922068454,1244.27952654622,8,115,2504.55905309244,1.7776020766737,0.291206928200203,NA,0.999483847567582
"4","m004","~camhours + cam_angle ~ ele.s + dis + popPUN",0.713652862926342,0.101529527944612,-0.0205951882446735,0.134003736685618,0.44172517049696,0.16058711508954,NA,NA,NA,NA,NA,NA,NA,NA,0.352722699900007,0.108999788767291,NA,NA,NA,NA,NA,NA,0.129537855051102,0.271495466750574,0.068747729634399,0.0791067354007261,-4.37710085629687,0.297167218963381,0,75.3841814935142,1252.49585946977,7,115,2518.99171893953,16.2102679237682,0.000213888844824577,NA,0.999697736412406
"3","m003","~camhours + cam_angle ~ ele.s + dis + popREACH",0.685041557798468,0.100563207261215,-0.0132231639225013,0.136032003044675,0.45718432936844,0.161818929926429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334626524328946,0.106365430051909,NA,NA,NA,NA,0.130011109153996,0.271641284100733,0.0690376472710412,0.0791275409552927,-4.38673173046868,0.299143663382068,0,75.5686127751456,1252.81681726046,7,115,2519.63363452093,16.8521835051638,0.00015516649049424,NA,0.9998529029029
"7","m007","~camhours + cam_angle ~ ele.s + dis + popIN",0.597045929830508,0.0992952522177916,-0.303016898272696,0.142042386793559,0.352851447485539,0.162609286801845,NA,NA,NA,NA,NA,NA,-0.408284861090833,0.182632608820792,NA,NA,NA,NA,NA,NA,NA,NA,0.0130647209067785,0.273359829807592,0.0684007806730258,0.0787973511704126,-4.21771373012771,0.287276081874515,0,71.4775625465528,1254.26580298567,7,115,2522.53160597134,19.7501549555791,3.64343841204628e-05,NA,0.999889337287021
"5","m005","~camhours + cam_angle ~ ele.s + dis + popSH",0.609722052598116,0.0979279540002319,-0.311116671195152,0.143584319259974,0.344901991809639,0.162214805246783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.390284679015135,0.176904598105571,NA,NA,0.00380816588692976,0.273361467847088,0.0682205697759767,0.0787855074649708,-4.19883460876501,0.285994288223108,0,70.8212293863672,1254.41645936337,7,115,2522.83291872675,20.0514677109827,3.13387881944955e-05,NA,0.999920676075215
"15","m015","~camhours + cam_angle ~ ele.s + dis + PAsize + popIN",0.536815944572566,0.134109564829092,-0.28171553571866,0.145656758513608,0.24109453553356,0.238893888184219,0.028551146997217,0.0432988965219897,NA,NA,NA,NA,-0.341284640696605,0.205720810826682,NA,NA,NA,NA,NA,NA,NA,NA,0.00349216697902244,0.273837325672747,0.0682249252645566,0.0788080791374452,-4.21484764374294,0.287644887271119,0,1022.68789934123,1254.05093002319,8,115,2524.10186004638,21.3204090306203,1.66163293883943e-05,NA,0.999937292404604
"13","m013","~camhours + cam_angle ~ ele.s + dis + PAsize + popSH",0.544930287329625,0.136118009650683,-0.2868080328557,0.148145238124596,0.230071508036364,0.23882987608669,0.0296821696338077,0.0438052477879487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.322524532971573,0.201111853548298,NA,NA,-0.00499660120956729,0.273733096750215,0.0680883932603669,0.0788016502380286,-4.1986520338261,0.286472573215939,0,1011.39980564404,1254.19026331152,8,115,2524.38052662304,21.5990756072747,1.44551770191697e-05,NA,0.999951747581623
"6","m006","~camhours + cam_angle ~ ele.s + dis + popEDU",0.616693113539415,0.0980510025637343,-0.29051829436435,0.145064746008274,0.36553059299828,0.159820406879129,NA,NA,NA,NA,-0.315719455824276,0.170812558572367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00536278773544029,0.272871516844826,0.0684995122161015,0.0788230638080008,-4.19265092875767,0.2856250453248,0,70.6663952117596,1255.34201650673,7,115,2524.68403301346,21.9025819977014,1.24198925662072e-05,NA,0.999964167474189
"9","m009","~camhours + cam_angle ~ ele.s + dis + PAsize",0.480371257389878,0.128780520681453,-0.163333512144564,0.129073956018609,0.115449386208396,0.232689043680439,0.068873522130492,0.0368727796743868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0434385658430813,0.271908445054993,0.0682687418520857,0.0789283953098622,-4.17626713839988,0.285938653908503,0,1008.86676307134,1255.61063560245,7,115,2525.22127120491,22.4398201891427,9.49419283036114e-06,NA,0.999973661667019
"14","m014","~camhours + cam_angle ~ ele.s + dis + PAsize + popEDU",0.524213676951674,0.134910435833561,-0.255320070626029,0.149506398232161,0.198961284089717,0.239491171569088,0.0420683540004925,0.0429452337207369,NA,NA,-0.225539503631769,0.191568019335574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0171099658004723,0.273326829091917,0.0682251266069672,0.0788364023092718,-4.19235840448448,0.286380652975477,0,1016.14002815129,1254.87108517982,8,115,2525.74217035964,22.960719343881,7.31722204075148e-06,NA,0.99998097888906
"16","m016","~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s",0.423007413028245,0.136426661313848,-0.0547647913577798,0.15925191156528,-0.00450261731949629,0.26040608857638,0.104057410501136,0.0476671015428918,0.218313157265819,0.186176272950206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0399337192281481,0.270770208255011,0.0683105726616863,0.0790396318892069,-4.20468958103554,0.288637721521915,0,1041.96472312333,1254.9246185414,8,115,2525.8492370828,23.0677860670398,6.93580685074146e-06,NA,0.999987914695911
"12","m012","~camhours + cam_angle ~ ele.s + dis + PAsize + popSP",0.520605669698794,0.137248514581875,-0.23553692756092,0.15090907900444,0.164791416215019,0.237420761830041,0.0503825668338792,0.0422408100265767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.156844665414288,0.171997884154927,-0.0312367463409491,0.272958779699799,0.0681150101009349,0.0788505347536975,-4.17420048028964,0.285517133006132,0,1004.32503282604,1255.18863036625,8,115,2526.3772607325,23.595809716739,5.32645315265931e-06,NA,0.999993241149064
"2","m002","~camhours + cam_angle ~ ele.s + dis",0.642713339474207,0.0968505414501678,-0.158314185236274,0.128136939119914,0.409837372837313,0.154290324270252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.038835618882585,0.270586751620846,0.0688390844513369,0.0789628201038376,-4.16511703501127,0.283670610625289,0,67.1868240532734,1257.26852432723,6,115,2526.53704865446,23.7555976386957,4.91745738820737e-06,NA,0.999998158606452
"8","m008","~camhours + cam_angle ~ ele.s + dis + pop3000.s",0.639892762534396,0.0979444637838617,-0.172519361394814,0.148727889126591,0.405877672502206,0.155753499641179,NA,NA,-0.0272669499085447,0.145000195157479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0397441503119849,0.270846960233424,0.0687955846036195,0.0789468263425591,-4.16216042289813,0.284026441074165,0,71.3477162287893,1257.25079329181,7,115,2528.50158658362,25.7201355678585,1.84139353569183e-06,NA,0.999999999999987
"1","m001","~1 ~ 1",NA,NA,NA,NA,0.319529038693277,0.131187111781608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.95492956931702,0.111382206035623,0,5.0600357762754,1281.05976296713,2,115,2566.11952593425,63.3380749184889,1.24886321553579e-14,NA,1
