"","model","formula","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(pop)","SElam(pop)","lam(popP)","SElam(popP)","lam(popSH)","SElam(popSH)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"4","m004","~camhours + cam_angle ~ ele.s + popP",0.199310409964626,0.230822632652357,-1.25678559727123,0.527317320835682,NA,NA,0.125184334348822,0.0373439851780459,NA,NA,13.2071150222033,254.43409256581,4.67340216441674,45.421371996108,-18.7423021831796,254.442282735687,0,502330695.396559,247.035768139808,6,115,506.071536279616,0,0.768226960321514,NA,0.768226960321514
"3","m003","~camhours + cam_angle ~ ele.s + pop",0.567542815155125,0.303925465014268,-1.70287776464994,0.639496655432929,0.034086390825832,0.01192461885411,NA,NA,NA,NA,6.25116685025037,8.48979262444433,8.74663164127147,103.376276141634,-11.9113879429492,9.58859325673325,0,866086120.561296,248.325745467263,6,115,508.651490934526,2.57995465490956,0.211475231585761,NA,0.979702191907276
"5","m005","~camhours + cam_angle ~ ele.s + popSH",0.257946307739865,0.287571665156256,-1.15710702597334,0.540920972400971,NA,NA,NA,NA,0.0735701938986104,0.0415596617760594,11.3675662090222,123.010104873074,6.08598998254959,64.2506917308899,-16.7431567244385,123.041506846514,0,131178391.067131,251.157867385328,6,115,514.315734770656,8.2441984910397,0.0124533039500949,NA,0.992155495857371
"2","m002","~camhours + cam_angle ~ ele.s",-0.093723425084576,0.20556123038951,-0.512741551284015,0.326526484512839,NA,NA,NA,NA,NA,NA,10.2235582415132,65.3491625109233,5.23733596968649,59.7999734950776,-15.4618660289083,65.4000771685868,0,575290.874179676,252.730316499383,5,115,515.460632998765,9.38909671914928,0.00702543300587465,NA,0.999180928863245
"1","m001","~1 ~ 1",NA,NA,-0.716453148999448,0.312764756924695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.9950376548842,0.311700573067429,0,7.48742455993032,257.879437691387,2,115,519.758875382773,13.6873391031572,0.00081907113675461,NA,1
