"","model","formula","lam(dis.v.s)","SElam(dis.v.s)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PASLvshilin)","SElam(PASLvshilin)","lam(PASMangao)","SElam(PASMangao)","lam(PASMengla)","SElam(PASMengla)","lam(PASMengsong)","SElam(PASMengsong)","lam(PASNabanhe)","SElam(PASNabanhe)","lam(pop.s)","SElam(pop.s)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"17","m020","~camhours + cam_angle ~ ele.s + pop.s + PAS + dis.v.s",0.117157582012277,0.103787212919391,0.472204220576194,0.155790544419827,-0.238190799575022,0.347643547284942,-13.3236678734254,247.585214053064,-13.0351971657242,240.958139613175,1.61158504238167,0.332842606495891,0.277758870872226,0.519476720448479,1.05703761983776,0.742346671390215,0.812939156822939,0.417754655333008,1.06856450068692,0.276081365767853,-0.0360367462087552,0.0558418679063059,-4.97140498960812,0.303256839518538,0,27360497.1936259,1421.91911525998,12,115,2867.83823051997,0,0.799356788129936,NA,0.799356788129936
"12","m013","~camhours + cam_angle ~ PAS",NA,NA,NA,NA,-0.4663154238692,0.282350119404714,-11.605429053209,169.68417828835,-12.9284074332459,270.179931649655,1.43988955290916,0.308239974514719,0.391888858936101,0.476713384649681,1.92196144117592,0.322496348266471,NA,NA,1.11359236187094,0.274851178683262,-0.0349248578287985,0.0558375954692127,-4.95687798554941,0.297539235072677,0,31267123.8006169,1426.75093605468,9,115,2871.50187210935,3.66364158938677,0.127994410467526,NA,0.927351198597462
"13","m014","~camhours + cam_angle ~ pop.s + PAS",NA,NA,NA,NA,-0.411812232322353,0.345798782731459,-9.52971826934322,53.1347027725598,-6.42895369147262,10.1689721294443,1.46468684787932,0.320250651201331,0.361803404803951,0.4902055485332,1.74798617741674,0.710635095424372,0.0950625306065084,0.34225036998589,1.10569707355936,0.276205631911569,-0.0351379653153788,0.0558214036656147,-4.9498699362256,0.298661032595532,0,1209285.42270074,1426.71909288673,10,115,2873.43818577346,5.59995525349677,0.048610023898204,NA,0.975961222495666
"11","m012","~camhours + cam_angle ~ pop.s + dis.v.s + PAS",0.0394053771048008,0.0984617514110365,NA,NA,-0.426007133247259,0.34826570132063,-7.29325567310346,17.8846807914635,-7.19914869751728,15.1424251413843,1.4395571333016,0.325075589876767,0.416153444373991,0.511749886039541,1.79465414672263,0.720559161104338,0.0781832189473584,0.344882853993652,1.1029827044601,0.276326633182737,-0.034975319584378,0.055834682697602,-4.94637879735445,0.298735225383166,0,137921.652621705,1426.63714732214,11,115,2875.27429464429,7.43606412432291,0.0194097463147957,NA,0.995370968810461
"16","m018","~camhours ~ ele.s + pop.s + PAS + dis.v.s",0.123965391940372,0.103822030240488,0.50462149709698,0.158226394879559,-0.211417274080573,0.354645616375711,-9.24462061107739,27.2889001819001,-15.3775953239059,753.319835206746,1.60767302364755,0.337511371697317,0.253129368587261,0.525026080352086,0.495642904091474,0.791349188792962,0.983745979240556,0.444761816533736,NA,NA,-0.0374894374148467,0.0558994926007892,-3.87134036466795,0.11850235457344,0,191325827.566773,1428.42088857918,11,115,2878.84177715836,11.0035466383965,0.00326100056556055,NA,0.998631969376022
"6","m007","~camhours ~ ele.s + PAS",NA,NA,0.272925908169979,0.125600929186824,-0.601249181718947,0.285963819204655,-10.3084203082317,121.440129194099,-16.1615774826198,1398.16647921762,1.3504340431727,0.309666360158964,0.383644877250949,0.477530327006667,1.87020534160397,0.340624774967466,NA,NA,NA,NA,-0.036120695619503,0.0559243654905437,-3.83660393512481,0.113569576708575,0,649144237.030505,1431.60246853019,9,115,2881.20493706038,13.3667065404134,0.00100045422235813,NA,0.99963242359838
"4","m005","~camhours ~ PAS",NA,NA,NA,NA,-0.512884788167229,0.280569144536006,-13.6828148885016,487.578017078766,-14.7224742338167,671.626216087922,1.39664347311911,0.30946332005471,0.424176434056553,0.478332903447932,1.62281882090585,0.323016220101894,NA,NA,NA,NA,-0.0359346283296334,0.0558840631105267,-3.82158545165122,0.111999068639421,0,149042093.76216,1433.97653359687,8,115,2883.95306719375,16.1148366737839,0.000253191047324611,NA,0.999885614645705
"5","m006","~camhours ~ pop.s + PAS",NA,NA,NA,NA,-0.374559640214398,0.355084118292591,-11.1175999308958,99.6157562790599,-16.4221677153673,1482.91045254949,1.45544002903409,0.323626616261055,0.346274181456723,0.494266345207077,1.19418714408113,0.763026639921174,0.234623275382512,0.373638755800495,NA,NA,-0.0360788823691788,0.0559066535712853,-3.82354351006419,0.11227564926969,0,725972604.507241,1433.77110487955,9,115,2885.54220975909,17.7039792391261,0.000114385354295324,NA,1
"9","m010","~camhours + cam_angle ~ ele.s + pop.s + dis.v.s",0.187798823207172,0.0910455032905876,0.441061279820811,0.149034204078766,0.1437008921697,0.125753290857316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369964679024073,0.162669525698655,0.46596312698662,0.287463073703016,-0.0387309005829053,0.0561469269984073,-4.01896379570122,0.287524431056052,0,61.1388058328456,1467.58750241896,7,115,2949.17500483792,81.3367743179538,1.74054211556471e-18,NA,1
"3","m003","~camhours ~ ele.s + pop.s",NA,NA,0.417009451035738,0.151002549712557,0.129227013595298,0.123886349798799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262715661335351,0.15816071308507,NA,NA,-0.0387491199098269,0.0561695093809442,-3.57541949641102,0.0921456283326743,0,13.1614541917798,1471.07353897741,5,115,2952.14707795481,84.3088474348478,3.93828425392085e-19,NA,1
